id,px,py,pz,length
476,68.021,18.546,-8.209,0.728
477,68.821,18.546,-8.221,0.825
478,69.621,18.546,-8.227,0.813
479,70.421,18.546,-8.229,0.749
480,71.221,18.546,-8.227,0.697
481,72.021,18.546,-8.219,0.615
482,72.821,18.546,-8.205,0.372
483,73.621,18.546,-8.189,0.300
484,-2.779,19.346,-7.555,0.300
485,-1.979,19.346,-7.564,0.300
486,-1.179,19.346,-7.600,0.300
487,-0.379,19.346,-7.573,0.301
488,1.221,19.346,-7.766,0.573
489,2.021,19.346,-7.859,0.618
490,3.621,19.346,-7.922,0.713
491,4.421,19.346,-7.920,0.762
492,5.221,19.346,-7.910,0.801
493,6.021,19.346,-7.905,0.853
494,6.821,19.346,-7.906,0.913
495,7.621,19.346,-7.908,0.966
496,8.421,19.346,-7.904,1.024
497,9.221,19.346,-7.889,1.070
498,10.021,19.346,-7.862,1.088
499,10.821,19.346,-7.815,0.985
500,11.621,19.346,-7.744,0.759
501,12.421,19.346,-7.679,0.538
502,13.221,19.346,-7.672,0.458
503,14.021,19.346,-7.742,0.580
504,14.821,19.346,-7.839,0.833
505,15.621,19.346,-7.934,1.121
506,16.421,19.346,-7.973,1.323
507,17.221,19.346,-7.984,1.400
508,18.021,19.346,-7.972,1.395
509,18.821,19.346,-7.976,1.413
510,19.621,19.346,-8.016,1.481
511,20.421,19.346,-8.034,1.525
512,21.221,19.346,-8.049,1.543
513,22.021,19.346,-8.071,1.560
514,22.821,19.346,-8.048,1.451
515,23.621,19.346,-8.010,1.252
516,24.421,19.346,-7.985,0.992
517,25.221,19.346,-7.953,0.691
518,26.021,19.346,-7.912,0.515
519,30.021,19.346,-7.930,1.550
520,30.821,19.346,-7.927,1.558
521,32.421,19.346,-8.024,1.427
522,33.221,19.346,-8.100,1.289
523,34.021,19.346,-8.145,1.089
524,34.821,19.346,-8.157,0.869
525,35.621,19.346,-8.148,0.792
526,36.421,19.346,-8.128,0.876
527,37.221,19.346,-8.102,0.892
528,38.021,19.346,-8.076,0.814
529,38.821,19.346,-8.080,0.705
530,39.621,19.346,-8.148,0.427
531,43.621,19.346,-8.220,0.300
532,44.421,19.346,-8.231,0.429
533,47.621,19.346,-8.236,0.548
534,48.421,19.346,-8.251,1.122
535,49.221,19.346,-8.268,1.522
536,50.021,19.346,-8.283,1.723
537,50.821,19.346,-8.295,1.679
538,51.621,19.346,-8.304,1.606
539,52.421,19.346,-8.308,1.579
540,53.221,19.346,-8.304,1.551
541,54.021,19.346,-8.297,1.428
542,54.821,19.346,-8.286,1.124
543,55.621,19.346,-8.245,0.842
544,56.421,19.346,-8.195,0.730
545,58.021,19.346,-8.174,0.611
546,58.821,19.346,-8.205,0.630
547,59.621,19.346,-8.216,0.705
548,60.421,19.346,-8.201,0.881
549,61.221,19.346,-8.216,1.025
550,62.021,19.346,-8.238,1.141
551,62.821,19.346,-8.227,1.213
552,63.621,19.346,-8.211,1.139
553,64.421,19.346,-8.200,0.946
554,65.221,19.346,-8.193,0.739
555,68.421,19.346,-8.205,0.860
556,69.221,19.346,-8.217,0.963
557,70.021,19.346,-8.224,0.962
558,70.821,19.346,-8.226,0.943
559,71.621,19.346,-8.217,0.910
560,72.421,19.346,-8.189,0.787
561,73.221,19.346,-8.147,0.480
562,74.021,19.346,-8.112,0.300
563,-2.379,20.146,-7.703,0.300
564,-1.579,20.146,-7.715,0.300
565,-0.779,20.146,-7.727,0.300
566,0.021,20.146,-7.722,0.394
567,0.821,20.146,-7.766,0.578
568,1.621,20.146,-7.870,0.673
569,2.421,20.146,-7.965,0.714
570,3.221,20.146,-8.026,0.787
571,4.021,20.146,-8.055,0.861
572,4.821,20.146,-8.059,0.930
